product_type,sku,price,availability,units_sold,revenue,customer_demographics,stock_level,lead_times_days,order_qty,shipping_time_days,shipping_carrier,shipping_cost,supplier_name,location,lead_time_days,production_volume,mfg_lead_time_days,mfg_cost,inspection_result,defect_rate,transport_mode,route,total_cost
haircare,SKU0,69.81,55,802.0,8662.0,Non-binary,58.0,7.0,96.0,4.0,Carrier B,2.96,Supplier 3,Mumbai,29.0,215.0,29.0,46.28,Pending,0.2264,Road,Route B,187.75
skincare,SKU1,14.84,95,736.0,7460.9,Female,53.0,30.0,37.0,2.0,Carrier A,9.72,Supplier 3,Mumbai,23.0,517.0,30.0,33.62,Pending,4.8541,Road,Route B,503.07
haircare,SKU2,11.32,34,8.0,9577.75,Unknown,1.0,10.0,88.0,2.0,Carrier B,8.05,Supplier 1,Mumbai,12.0,971.0,27.0,30.69,Pending,4.5806,Air,Route C,141.92
skincare,SKU3,61.16,68,83.0,7766.84,Non-binary,23.0,13.0,59.0,6.0,Carrier C,1.73,Supplier 5,Kolkata,24.0,937.0,18.0,35.62,Fail,4.7466,Rail,Route A,254.78
skincare,SKU4,4.81,26,871.0,2686.51,Non-binary,5.0,3.0,56.0,8.0,Carrier A,3.89,Supplier 1,Delhi,5.0,414.0,3.0,92.07,Fail,3.1456,Air,Route A,923.44
haircare,SKU5,1.7,87,147.0,2828.35,Non-binary,90.0,27.0,66.0,3.0,Carrier B,4.44,Supplier 4,Bangalore,10.0,104.0,17.0,56.77,Fail,2.7792,Road,Route A,235.46
skincare,SKU6,4.08,48,65.0,7823.48,Male,11.0,15.0,58.0,8.0,Carrier C,3.88,Supplier 3,Kolkata,14.0,314.0,24.0,1.09,Pending,1.0009,Sea,Route A,134.37
cosmetics,SKU7,42.96,59,426.0,8496.1,Female,93.0,17.0,11.0,1.0,Carrier B,2.35,Supplier 4,Bangalore,22.0,564.0,1.0,99.47,Fail,0.3982,Road,Route C,802.06
cosmetics,SKU8,68.72,78,150.0,7517.36,Female,5.0,10.0,15.0,7.0,Carrier C,3.4,Supplier 4,Mumbai,13.0,769.0,8.0,11.42,Pending,2.7099,Sea,Route B,505.56
skincare,SKU9,64.02,35,980.0,4971.15,Unknown,14.0,27.0,83.0,1.0,Carrier A,7.17,Supplier 2,Chennai,29.0,963.0,23.0,47.96,Pending,3.8446,Rail,Route B,995.93
skincare,SKU10,15.71,11,996.0,2330.97,Non-binary,51.0,13.0,80.0,2.0,Carrier C,8.67,Supplier 5,Kolkata,18.0,830.0,5.0,96.53,Pass,1.7273,Road,Route B,806.1
skincare,SKU11,90.64,95,960.0,6099.94,Female,46.0,23.0,60.0,1.0,Carrier A,4.52,Supplier 2,Kolkata,28.0,362.0,11.0,27.59,Pending,0.0212,Air,Route A,126.72
haircare,SKU12,71.21,41,336.0,2873.74,Unknown,100.0,30.0,85.0,4.0,Carrier A,1.33,Supplier 4,Kolkata,3.0,563.0,3.0,32.32,Fail,2.1613,Road,Route B,402.97
skincare,SKU13,16.16,5,249.0,4052.74,Male,80.0,8.0,48.0,9.0,Carrier A,9.54,Supplier 5,Bangalore,23.0,173.0,10.0,97.83,Pending,1.6311,Road,Route B,547.24
skincare,SKU14,99.17,26,562.0,8653.57,Non-binary,54.0,29.0,78.0,5.0,Carrier B,2.04,Supplier 1,Kolkata,25.0,558.0,14.0,5.79,Pending,0.1007,Air,Route B,929.24
skincare,SKU15,36.99,94,469.0,5442.09,Non-binary,9.0,8.0,69.0,7.0,Carrier B,2.42,Supplier 1,Bangalore,14.0,580.0,7.0,97.12,Pass,2.2644,Sea,Route B,127.86
skincare,SKU16,7.55,74,280.0,6453.8,Female,2.0,5.0,78.0,1.0,Carrier B,4.19,Supplier 1,Bangalore,3.0,399.0,21.0,77.11,Pass,1.0126,Air,Route A,865.53
cosmetics,SKU17,81.46,82,126.0,2629.4,Female,45.0,17.0,85.0,9.0,Carrier C,3.59,Supplier 1,Chennai,7.0,453.0,16.0,47.68,Fail,0.102,Air,Route C,670.93
haircare,SKU18,36.44,23,620.0,9364.67,Unknown,10.0,10.0,46.0,8.0,Carrier C,4.34,Supplier 2,Kolkata,18.0,374.0,17.0,27.11,Pending,2.2319,Sea,Route A,593.48
skincare,SKU19,51.12,100,187.0,2553.5,Unknown,48.0,11.0,94.0,3.0,Carrier A,4.74,Supplier 4,Chennai,20.0,694.0,16.0,82.37,Fail,3.6465,Road,Route C,477.31
skincare,SKU20,96.34,22,320.0,8128.03,Unknown,27.0,12.0,68.0,6.0,Carrier A,8.88,Supplier 1,Chennai,29.0,309.0,6.0,65.69,Pass,4.2314,Air,Route B,493.87
cosmetics,SKU21,84.89,60,601.0,7087.05,Unknown,69.0,25.0,7.0,6.0,Carrier B,6.04,Supplier 5,Chennai,19.0,791.0,4.0,61.74,Pending,0.0186,Air,Route C,523.36
haircare,SKU22,27.68,55,884.0,2390.81,Unknown,71.0,1.0,63.0,10.0,Carrier A,9.57,Supplier 4,Kolkata,22.0,780.0,28.0,50.12,Fail,2.5913,Rail,Route C,205.57
cosmetics,SKU23,4.32,30,391.0,8858.37,Unknown,84.0,5.0,29.0,7.0,Carrier A,2.92,Supplier 5,Kolkata,11.0,568.0,29.0,98.61,Pending,1.3423,Rail,Route A,196.33
haircare,SKU24,4.16,32,209.0,9049.08,Male,4.0,26.0,2.0,8.0,Carrier C,9.74,Supplier 2,Bangalore,28.0,447.0,3.0,40.38,Pending,3.6913,Air,Route A,758.72
haircare,SKU25,39.63,73,142.0,2174.78,Male,82.0,11.0,52.0,3.0,Carrier C,2.23,Supplier 4,Kolkata,19.0,934.0,23.0,78.28,Pending,3.7972,Road,Route B,458.54
haircare,SKU26,97.45,9,353.0,3716.49,Male,59.0,16.0,48.0,4.0,Carrier B,6.51,Supplier 2,Bangalore,26.0,171.0,4.0,15.97,Pass,2.1193,Rail,Route A,617.87
cosmetics,SKU27,92.56,42,352.0,2686.46,Unknown,47.0,9.0,62.0,8.0,Carrier C,7.41,Supplier 5,Mumbai,25.0,291.0,4.0,10.53,Fail,2.8647,Sea,Route B,762.46
cosmetics,SKU28,2.4,12,394.0,6117.32,Female,48.0,15.0,24.0,4.0,Carrier B,9.9,Supplier 1,Mumbai,13.0,171.0,7.0,59.43,Fail,0.8158,Air,Route A,123.44
cosmetics,SKU29,63.45,3,253.0,8318.9,Female,45.0,5.0,67.0,7.0,Carrier B,8.1,Supplier 1,Kolkata,16.0,329.0,7.0,39.29,Pass,3.8781,Road,Route B,764.94
haircare,SKU30,8.02,10,327.0,2766.34,Male,60.0,26.0,35.0,7.0,Carrier B,8.95,Supplier 4,Kolkata,27.0,806.0,30.0,51.63,Pending,0.9654,Road,Route C,880.08
skincare,SKU31,50.85,28,168.0,9655.14,Male,6.0,17.0,44.0,4.0,Carrier B,2.68,Supplier 3,Chennai,24.0,461.0,8.0,60.25,Pending,2.989,Rail,Route C,609.38
skincare,SKU32,79.21,43,781.0,9571.55,Unknown,89.0,13.0,64.0,4.0,Carrier C,6.6,Supplier 3,Kolkata,30.0,737.0,7.0,29.69,Pass,1.946,Road,Route A,761.17
cosmetics,SKU33,64.8,63,616.0,5150.0,Non-binary,4.0,17.0,95.0,9.0,Carrier C,4.86,Supplier 5,Chennai,1.0,251.0,23.0,23.85,Fail,3.541,Sea,Route A,371.26
skincare,SKU34,37.47,96,602.0,9061.71,Unknown,1.0,26.0,21.0,7.0,Carrier A,1.02,Supplier 1,Chennai,4.0,452.0,10.0,10.75,Pass,0.6466,Road,Route B,510.36
cosmetics,SKU35,84.96,11,449.0,6541.33,Female,42.0,27.0,85.0,8.0,Carrier C,5.29,Supplier 1,Delhi,3.0,367.0,2.0,58.0,Pass,0.5412,Sea,Route C,553.42
skincare,SKU36,9.81,34,963.0,7573.4,Female,18.0,23.0,28.0,3.0,Carrier B,2.11,Supplier 2,Delhi,26.0,671.0,19.0,45.53,Fail,3.8055,Air,Route C,403.81
skincare,SKU37,23.4,5,963.0,2438.34,Female,25.0,8.0,21.0,9.0,Carrier A,1.53,Supplier 3,Kolkata,24.0,867.0,15.0,34.34,Pending,2.6103,Sea,Route A,183.93
cosmetics,SKU38,52.08,75,705.0,9692.32,Non-binary,69.0,1.0,88.0,5.0,Carrier B,9.24,Supplier 5,Mumbai,10.0,841.0,12.0,5.93,Pending,0.6133,Air,Route B,339.67
skincare,SKU39,19.13,26,176.0,1912.47,Female,78.0,29.0,34.0,3.0,Carrier A,5.56,Supplier 2,Kolkata,30.0,791.0,6.0,9.01,Fail,1.452,Air,Route B,653.67
skincare,SKU40,80.54,97,933.0,5724.96,Female,90.0,20.0,39.0,8.0,Carrier C,7.23,Supplier 1,Kolkata,18.0,793.0,1.0,88.18,Pending,4.2133,Road,Route A,529.81
skincare,SKU41,99.11,35,556.0,5521.21,Female,64.0,19.0,38.0,8.0,Carrier B,5.77,Supplier 4,Chennai,18.0,892.0,7.0,95.33,Fail,0.0453,Sea,Route A,275.52
skincare,SKU42,46.53,98,155.0,1839.61,Female,22.0,27.0,57.0,4.0,Carrier C,7.53,Supplier 5,Bangalore,26.0,179.0,7.0,96.42,Fail,4.9393,Road,Route A,635.66
haircare,SKU43,11.74,6,598.0,5737.43,Unknown,36.0,29.0,85.0,9.0,Carrier B,3.69,Supplier 5,Mumbai,1.0,206.0,23.0,26.28,Pending,0.3723,Air,Route A,716.04
cosmetics,SKU44,51.36,34,919.0,7152.29,Female,13.0,19.0,72.0,6.0,Carrier C,7.58,Supplier 2,Delhi,7.0,834.0,18.0,22.55,Fail,2.9626,Rail,Route A,610.45
haircare,SKU45,33.78,1,24.0,5267.96,Male,93.0,7.0,52.0,6.0,Carrier B,5.22,Supplier 2,Chennai,25.0,794.0,25.0,66.31,Pass,3.2196,Rail,Route A,495.31
haircare,SKU46,27.08,75,859.0,2556.77,Non-binary,92.0,29.0,6.0,8.0,Carrier B,4.07,Supplier 3,Chennai,18.0,870.0,23.0,77.32,Pending,3.6486,Road,Route B,380.44
skincare,SKU47,95.71,93,910.0,7089.47,Male,4.0,15.0,51.0,9.0,Carrier B,8.98,Supplier 1,Kolkata,10.0,964.0,20.0,19.71,Pending,0.3806,Rail,Route A,581.6
haircare,SKU48,76.04,28,29.0,7397.07,Non-binary,30.0,16.0,9.0,3.0,Carrier C,7.1,Supplier 2,Mumbai,9.0,109.0,18.0,23.13,Fail,1.6981,Rail,Route B,768.65
cosmetics,SKU49,78.9,19,99.0,8001.61,Unknown,97.0,24.0,9.0,6.0,Carrier C,2.51,Supplier 5,Delhi,28.0,177.0,28.0,14.15,Pass,2.8258,Rail,Route A,336.89
cosmetics,SKU50,14.2,91,633.0,5910.89,Female,31.0,23.0,82.0,10.0,Carrier A,6.25,Supplier 2,Delhi,20.0,306.0,21.0,45.18,Fail,4.7548,Rail,Route B,496.25
haircare,SKU51,26.7,61,154.0,9866.47,Male,100.0,4.0,52.0,1.0,Carrier A,4.78,Supplier 5,Bangalore,18.0,673.0,28.0,14.19,Pending,1.773,Road,Route A,694.98
skincare,SKU52,98.03,1,820.0,9435.76,Male,64.0,11.0,11.0,1.0,Carrier B,8.63,Supplier 1,Mumbai,10.0,727.0,27.0,9.17,Pending,2.1225,Air,Route C,602.9
skincare,SKU53,30.34,93,242.0,8232.33,Male,96.0,25.0,54.0,3.0,Carrier B,1.01,Supplier 1,Delhi,1.0,631.0,17.0,83.34,Pending,1.4103,Air,Route B,750.74
haircare,SKU54,31.15,11,622.0,6088.02,Non-binary,33.0,22.0,61.0,3.0,Carrier B,4.31,Supplier 1,Kolkata,26.0,497.0,29.0,30.19,Pass,2.4788,Road,Route B,814.07
haircare,SKU55,79.86,16,701.0,2925.68,Male,97.0,11.0,11.0,5.0,Carrier A,5.01,Supplier 2,Delhi,27.0,918.0,5.0,30.32,Fail,4.5489,Sea,Route B,323.01
skincare,SKU56,20.99,90,93.0,4767.02,Non-binary,25.0,23.0,83.0,5.0,Carrier C,1.77,Supplier 1,Mumbai,24.0,826.0,28.0,12.84,Pass,1.1738,Air,Route B,832.21
haircare,SKU57,49.26,65,227.0,1605.87,Unknown,5.0,18.0,51.0,1.0,Carrier B,9.16,Supplier 2,Delhi,21.0,588.0,25.0,67.78,Pending,2.5112,Rail,Route A,482.19
skincare,SKU58,59.84,81,896.0,2021.15,Non-binary,10.0,5.0,44.0,7.0,Carrier A,4.94,Supplier 3,Delhi,18.0,396.0,7.0,65.05,Fail,1.7304,Road,Route B,110.36
cosmetics,SKU59,63.83,30,484.0,1061.62,Non-binary,100.0,16.0,26.0,7.0,Carrier B,7.29,Supplier 1,Kolkata,11.0,176.0,4.0,1.9,Fail,0.4472,Air,Route A,312.57
skincare,SKU60,17.03,16,380.0,8864.08,Female,41.0,27.0,72.0,8.0,Carrier C,4.38,Supplier 4,Mumbai,29.0,929.0,24.0,87.21,Fail,2.8531,Rail,Route A,430.17
haircare,SKU61,52.03,23,117.0,6885.59,Unknown,32.0,23.0,36.0,7.0,Carrier C,9.03,Supplier 4,Kolkata,14.0,480.0,12.0,78.7,Fail,4.3675,Air,Route A,164.37
cosmetics,SKU62,72.8,89,270.0,3899.75,Unknown,86.0,2.0,40.0,7.0,Carrier C,7.29,Supplier 2,Mumbai,13.0,751.0,14.0,21.05,Pass,1.874,Sea,Route C,320.85
skincare,SKU63,13.02,55,246.0,4256.95,Non-binary,54.0,19.0,10.0,4.0,Carrier A,2.46,Supplier 3,Bangalore,18.0,736.0,10.0,20.08,Pending,3.6328,Sea,Route A,687.29
skincare,SKU64,89.63,11,134.0,8458.73,Female,73.0,27.0,75.0,6.0,Carrier C,4.59,Supplier 1,Delhi,17.0,328.0,6.0,8.69,Fail,0.1595,Air,Route C,771.23
skincare,SKU65,33.7,72,457.0,8354.58,Male,57.0,24.0,54.0,8.0,Carrier C,6.58,Supplier 5,Kolkata,16.0,358.0,21.0,1.6,Fail,4.9111,Rail,Route C,555.86
skincare,SKU66,26.03,52,704.0,8367.72,Female,13.0,17.0,19.0,8.0,Carrier A,2.22,Supplier 5,Kolkata,24.0,867.0,28.0,42.08,Fail,3.4481,Road,Route A,393.84
skincare,SKU67,87.76,16,513.0,9473.8,Unknown,12.0,9.0,71.0,9.0,Carrier C,9.15,Supplier 1,Mumbai,10.0,198.0,11.0,7.06,Pass,0.132,Sea,Route C,169.27
haircare,SKU68,37.93,29,163.0,3550.22,Non-binary,0.0,8.0,58.0,8.0,Carrier B,1.19,Supplier 2,Bangalore,2.0,375.0,18.0,97.11,Fail,1.9835,Rail,Route A,299.71
skincare,SKU69,54.87,62,511.0,1752.38,Non-binary,95.0,1.0,27.0,3.0,Carrier B,9.71,Supplier 4,Kolkata,9.0,862.0,7.0,77.63,Pending,1.3624,Air,Route A,207.66
haircare,SKU70,47.91,90,32.0,7014.89,Female,10.0,12.0,22.0,4.0,Carrier B,6.32,Supplier 1,Bangalore,22.0,775.0,16.0,11.44,Pass,1.8306,Road,Route C,183.27
cosmetics,SKU71,6.38,14,637.0,8180.34,Female,76.0,2.0,26.0,6.0,Carrier A,9.23,Supplier 2,Bangalore,2.0,258.0,10.0,30.66,Pending,2.0788,Road,Route A,405.17
cosmetics,SKU72,90.2,88,478.0,2633.12,Non-binary,57.0,29.0,77.0,9.0,Carrier A,6.6,Supplier 1,Bangalore,21.0,152.0,11.0,55.76,Pending,3.2133,Rail,Route B,677.94
cosmetics,SKU73,83.85,41,375.0,7910.89,Male,17.0,25.0,66.0,5.0,Carrier B,1.51,Supplier 4,Chennai,13.0,444.0,4.0,46.87,Fail,4.6205,Road,Route A,866.47
